Article Title	Description	Coding
‘The Hunger Games’ starts fresh, without Katniss, in ‘The Ballad of Songbirds & Snakes’	Eight years after the Katniss Everdeen saga closed, a new Hunger Games prequel, “The Ballad of Songbirds & Snakes” arrives in theaters nationwide Friday at another transitional moment in Hollywood	\s
The Marvels hit with worst box office opening for any MCU movie to date with just S$64 million	<![CDATA[ The 2019 Brie Larson-led Captain Marvel sequel is the 33rd installment in the Marvel Cinematic Universe (MCU). ]]>	\s
‘Adamtine’ – Horror Graphic Novel from Hannah Berry Getting a Movie Adaptation	The next graphic novel to make the leap to the screen is Hannah Berry’s Adamtine, with Deadline reporting this morning that Wiip will be turning the graphic novel into a film. Mark Roybal (“Mare of Easttown”) will produce the upcoming horror movie alongside w…	\s
Priscilla Presley reveals why she never remarried after Elvis | CNN	Priscilla Presley is talking about why she never remarried after her six-year marriage to Elvis Presley ended.	\s
Saltburn Is a Black Comedy That’s Too Eager to Shock	Emerald Fennell's 'Saltburn' becomes more sour with every twist; it wears its grim determination to shock like a family crest. Read TIME's review.	\s
‘The Holdovers’ Gives Paul Giamatti His Best Movie Role Since ‘Sideways’	Nobody plays a loser better than Giamatti, and he gets plenty to dig into in this film reuniting him with his ‘Sideways’ director Alexander Payne.	\s
The Holdovers isn’t a period film—or so Alexander Payne tells himself	Christmas is coming early for cinephiles this year. The Holdovers, the long-awaited reteaming of classic comedy duo Paul Giamatti and Alexander Payne, rolls out in theaters nationwide on November 10, following a limited release at the end of October. Payne’s …	\s
The Hunger Games: The Ballad of Songbirds & Snakes	A surprisingly suspenseful prequel.	\s
THE MARVELS Star Teyonah Parris Tries On Her Super-Suit For The First Time In Behind-The-Scenes Video	Teyonah Parris has taken to Instagram to share a video of her trying on Monica Rambeau's super-suit for the very first time, and to say the actress is excited might be an understatement!	\s
5 things to watch this weekend	“The Hunger Games” returns to theaters this week and “Rustin” hits Netflix. From returning film franchises to new holiday classics, […]
The post 5 things to watch this weekend appeared first on TheGrio.	\s
‘Hunger Games: The Ballad of Songbirds and Snakes’ Director Explains ‘Hanging Tree’ Connection	Francis Lawrence and producer Nina Jacobson tell TheWrap about the prequel's big callback to the original films
The post ‘Hunger Games: The Ballad of Songbirds and Snakes’ Director Explains ‘Hanging Tree’ Connection appeared first on TheWrap.	\s
Saltburn: Barry Keoghan is excellent as a Scouser among malign poshos at Oxford	Film never properly escapes its guilty passion for the surface attractions of the posh Saltburn life	\s
Is The Hunger Games: The Ballad Of Songbirds & Snakes Suitable For Children?	The film will occupy the same MPAA rating as previous Hunger Games installments, but the images may prove more disturbing in the upcoming prequel.	\s
Saltburn review: Barry Keoghan and Jacob Elordi seek racy thrills	The darkly comedic and corrupt whims of the wealthy are on full display in filmmaker Emerald Fennell’s racy thriller Saltburn. The cheeky provocateur’s follow-up to her Oscar-winning directorial debut, Promising Young Woman, Saltburn wages war on the stuffy B…	\s
‘Hunger Games: Ballad Of Songbirds & Snakes’ Looks To Sing $100M+ Worldwide Opening – Preview	In what will be a revived week for moviegoing post actors strike heading into the Thanksgiving holiday, Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes is looking to lead a global frame with a $100M+ start. The pic is one of four big studio wid…	\s
Fresh Air Weekend: The future of Fox News; Sofia Coppola on Priscilla Presley	Fresh Air Weekend highlights some of the best interviews and reviews from past weeks, and new program elements specially paced for weekends. Our weekend show emphasizes interviews with writers, filmmakers, actors and musicians, and often includes excerpts fro…	\s
Emilia Clarke, Jenna Ortega and Alessia Russo win at Women of the Year awards	Actresses Emilia Clarke and Jenna Ortega were among the winners at this year's Harper's Bazaar Women of the Year Awards.	\s
Sofia Coppola Chats About Her Latest Gig: A Luxury Cashmere Collection, Barrie + Sofia Coppola	Coppola hosted a party Tuesday night at the Invisible Collection in New York to introduce the collection.	\s
‘The Marvels’ Bombing in Box Office Opening	The movie's performance fuels the theory that superhero fatigue is a real thing if a pic doesn't deliver on every front.	\s
Iman Vellani on Her Surprise Marvels Scene With [Spoiler], Plus Ms. Marvel Season 2 Hopes	The following contains surprise cameo spoilers from the motion picture The Marvels, now in theaters. Iman Vellani enjoyed her “Nick Fury moment” at the end of The Marvels as much as you did (if not more). Oh, and Kamala almost recruited a different young hero…	\s
THE MARVELS Star Brie Larson Thanks Fans For Their Support; New Posters Released	Now that the strikes are over, actors are allowed to promote their projects, and The Marvels star Brie Larson has taken to social media to thank fans for showing their support...	\s
