	Article Title	Description	Coding	Movie
66	‘The Hunger Games: The Ballad of Songbirds and Snakes’ Is One Stuffed (But Satisfying) Prequel	This return to Panem rewinds back to the early days of the Hunger Games, when future villain Coriolanus Snow was young, hot and... a good guy?	Movie production	THG
67	Olivia Rodrigo Drops ‘Can’t Catch Me Now’ Music Video For ‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Soundtrack	Olivia Rodrigo is contributing her music to the soundtrack for The Hunger Games: The Ballad of Songbirds & Snakes with “Can’t Catch Me Now.” The High School Musical: The Musical: The Series alum attended the premiere of the film in L.A. as her music video als…	Actor & Director	THG
68	International Insider: Spotlighting Turkey & Greece; AFM Week; World Tackles AI; Israel-Gaza	Good afternoon Insiders, Max Goldbart here. The clocks have gone back and it’s getting chilly but we’re here to warm your week with the very latest news and analysis. Read on and sign up here. To The Med Turkish delights: We spotlighted Turkey this week, and …	Unrelated	Not relevant
69	‘Loving Elvis’ Docuseries Finds U.S. Partner In Peacock	EXCLUSIVE: Elvis Presley was a big fan of peacocks until he banned them from Graceland after they started pecking at his gold Cadillac. Streamer Peacock is not holding a grudge and will air a recent docuseries on The King and his relationship with various wom…	Actor & Director	Priscilla
70	After ‘The Marvels’ Bombs at the Box Office, What’s Next for the MCU?	So it’s been unsettling to find out the Avengers are Earth-bound, after all. “The Marvels,” the 33rd installment in the MCU and the sequel to 2019’s billion-dollar behemoth “Captain Marvel,” cratered with $47 million in North America and $63 million internati…	Backlash	The Marvels
71	‘The Holdovers’ Gives Paul Giamatti His Best Movie Role Since ‘Sideways’	Nobody plays a loser better than Giamatti, and he gets plenty to dig into in this film reuniting him with his ‘Sideways’ director Alexander Payne.	Movie production	The Holdovers
72	Sofia Coppola Hoped to Get Lana Del Rey for ‘Priscilla’ Soundtrack: ‘Didn’t Work Out With the Timing’	Lana Del Rey is not involved with the new film Priscilla, but director Sofia Coppola was open to the idea. The Hollywood Reporter says the director first became aware of fans associating Elvis and Priscilla Presley with Del Rey — who has embodied Priscilla’s …	Movie production	Priscilla
73	'The Marvels' gets Stephen King's support amid box office woes: 'Why gloat over failure?'	Author Stephen King defended 'The Marvels' against 'adolescent fanboy hate' days after the movie made for the MCU's worst opening box office. 'Why gloat over failure?' he wrote.	Actor & Director	The Marvels
74	David Fincher and Alexander Payne Reboot Their Pre-Millenium Ennui	The Fight Club and Election directors return to their	Actor & Director	The Holdovers
75	Thanksgiving	Thanksgiving easily affirms that when his script isn’t simply a pile of guts, Eli Roth can be a wicked good entertainer.	Positive review	Thanksgiving
76	The Watcher 8	Tiny Movie Reviews for The Killer / The Marvels / Neue Geschichten vom Pumuckl / The Exorcist / Hurricane Season / Man Hunt / If You Were the Last / Scooby-Doo and Krypto too / Awareness.	Unrelated	Not relevant
77	‘Thanksgiving’ Director Eli Roth on Creative Kills and His Surprisingly Chummy Relationship With the Ratings Board	Eli Roth is back. And he’s here for “Thanksgiving.” For the past decade, Roth has nimbly moved through different genres – erotic thriller (“Knock Knock”), revenge movie (“Death Wish”), family fantasy (“The House with a Clock in Its Walls”), nature documentary…	Actor & Director	Thanksgiving
78	Emerald Fennell on the ‘Saltburn’ Scene Everyone Will Be Talking About	The writer, director and actor discusses her new film, working with Barry Keoghan and the seductiveness of Oxford. #barrykeoghan #oxford	Actor & Director	Saltburn
79	Review: 'Saltburn' Is An Acidic Class Satire Of Righteous Queer Fury	"With acid running in its veins where the blue blood is supposed to go, Emerald Fennell's Saltburn is an invigoratingly nasty and hilarious piece of work--the vicious ""eat the rich and spit out their bones and fuck their corpses to..."	Positive review	Saltburn
80	Priscilla Presley Never Married After Elvis. Now We Know Why.	The actor was married to the late Elvis Presley for six years, and then never again.	Actor & Director	Priscilla
81	Lisa Marie Presley Denounced Priscilla Before Her Death	"Lisa Marie Presley Denounced Priscilla Before Her Death - Here's Why The art of crafting a biopic that tells the truth about its subject matter and pleases both their fans and their estate alike is an often difficult prospect. To wit: while Sofia Coppola's ""P…"	Actor & Director	Priscilla
82	Disney Creates “Anti-Snow White” Movie After Failed Rachel Zegler Incident	Disney has seemingly created the “anti-Snow White” movie, just as their upcoming live action film has undergone a ton of negative backlash. If you’ve been staying updated on the ongoing developments surrounding the live-action adaptation of Snow White, you’re…	Unrelated	Not relevant
83	The Marvels: Why Samuel L. Jackson's 'Black Girl Magic' Battlecry Is So Powerful	"The Marvels: Why Samuel L. Jackson's 'Black Girl Magic' Battlecry Is So Powerful ""The Marvels"" is a project of firsts for the MCU. It's the first Marvel film to be helmed by a Black woman director, Nia DaCosta, who also unseated Ryan Coogler as the studio's y…"	Movie production	The Marvels
84	The Best Bang for Your Buck Events in Portland This Weekend: Nov 10–12, 2023	Desi Diwali Dance Party, Gobble Up Portland, and More Cheap & Easy Events Under $15	Unrelated	Not relevant
85	The Top 47 Events in Seattle This Week: Nov 13–19, 2023	SYML, Iliza, and More Top Picks	Unrelated	Not relevant
86	Sean Penn, Adam Driver, Academy Chief Bill Kramer to Attend Camerimage, Alongside Robbie Ryan, Ed Lachman, Peter Biziou	The 30th edition of the Camerimage Film Festival, Europe’s top cinematography event, will welcome a host of stellar guests to the Gothic Polish town of Torun, including Adam Driver, Sean Penn and Academy of Motion Picture Arts and Sciences CEO Bill Kramer. Dr…	Unrelated	Not relevant
87	"THE MARVELS Executive Producer Talks ""Pairing"" Carol Danvers With Valkyrie In MCU Sequel"	The Marvels features a brief cameo from Tessa Thompson's Valkyrie, and the scene she shares with Carol Danvers suggests that they may be more than just good friends...	Movie production	The Marvels
88	Box Office Predictions: The Hunger Games Prequel to lead the pack	The last full weekend before Thanksgiving is here and with it brings a slew of new films aimed at all different audiences.	Performance	THG
89	Fresh Air Weekend: The future of Fox News; Sofia Coppola on Priscilla Presley	Fresh Air Weekend highlights some of the best interviews and reviews from past weeks, and new program elements specially paced for weekends. Our weekend show emphasizes interviews with writers, filmmakers, actors and musicians, and often includes excerpts fro…	Actor & Director	Priscilla
90	The Marvels melts down at the box office, marking a new low for the MCU	The Marvels is the 33rd installment in the Marvel Cinematic Universe and a sequel to the 2019 Brie Larson-led Captain Marvel.	Performance	The Marvels
91	Holiday slasher ‘Thanksgiving’ serves up killer spread	As an ax-wielding psycho in a mask stalks Plymouth with shall we say pointed references to its very first Thanksgiving, the body count continues to mount, all executed in increasingly disturbing ways.	Movie production	Thanksgiving
92	‘The Marvels’ Succeeds By Adding Fun and Cutting the MCU Bloat	It's been four years, but Brie Larson and Captain Marvel are finally back with a sequel, and this time she has friends in 'The Marvels.'	Movie production	The Marvels
93	‘The Hunger Games’ starts fresh, without Katniss, in ‘The Ballad of Songbirds & Snakes’	Eight years after the Katniss Everdeen saga closed, a new Hunger Games prequel, “The Ballad of Songbirds & Snakes” arrives in theaters nationwide Friday at another transitional moment in Hollywood	Movie production	THG
94	Francis Lawrence on The Ballad of Songbirds & Snakes, Olivia Rodrigo, and more	The director also discusses his favorite scene from the Hunger Games prequel	Movie production	THG
95	What to watch with your kids: ‘Rustin’ and more	Common Sense Media’s guide to this week’s family movies and TV shows.	Unrelated	Not relevant
96	‘The Ballad of Songbirds and Snakes’: Ending, explained	"What happens to Lucy Gray Baird at the end of ""The Ballad of Songbirds and Snakes""? TODAY.com asked the cast and crew for their thoughts."	Movie production	THG
97	'The Marvels' Suffers 'Unprecedented Box Office Collapse'	The superhero movie may have encountered a new villain at the box office: genre fatigue.	Performance	The Marvels
98	Superhero movie 'The Marvels' underperforms in USA, struggles to cross $47 mn over weekend	"​'The Marvels,' a complicated sci-fi yarn about quantum entanglement, ""jump points"" and holes in space, also stars Teyonah Parris and Iman Vellani."	Performance	The Marvels
99	IndieWire 2023 Gift Guide: 23 Perfect Holiday Gift Ideas for Cinephiles, TV Fans, and Aspiring Filmmakers	"From ""Barbie"" rollerblades and ""White Lotus"" sweater vests to Moment iPhone camera lenses and Celluloid the Card Game, IndieWire staffers share the presents they'd like to give and receive this holiday season."	Unrelated	Not relevant
100	The Hunger Games: The Ballad of Songbirds & Snakes Is a Real Dystopian Bummer	The prequel starring Rachel Zegler and Tom Blyth is an extravagant but dreary prequel that proves no one needs that much dystopia in their entertainment.	Performance	THG
101	'The Marvels' has MCU's worst box office opening ever	'The Marvels' went lower, nearer, and slower with MCU's worst box office opening ever, grossing $47 million.	Performance	The Marvels
102	Nolte: Survey Shows Women Failed to Turn Out for ‘The Marvels’	Now that the Disney Grooming Syndicate’s The Marvels is a bonafide box office catastrophe, we can expect the usual-usual lies about how this is all the fault of racist Trump supporters, all the fault of everything except a lousy movie with unappealing stars r…	Backlash	The Marvels
103	THE MARVELS Star Iman Vellani On Recruiting [SPOILER], Mid-Credits Scene, & MS. MARVEL Season 2	In a new interview, The Marvels star Iman Vellani discusses the movie's surprise cameo, massive mid-credits scene, and the possibility of a second season of Ms. Marvel...	Movie production	The Marvels
104	'The Marvels' Melts Down at Box Office, Marking New Low for MCU	"Since 2008's ""Iron Man,"" the Marvel machine has been one of the most unstoppable forces in box-office history. Now, though, that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend launch of ""The Marve…"	Performance	The Marvels
105	Which Oscar Contenders Got the Biggest Boost From the End of the Strike?	With the end of the SAG strike, awards campaigning can finally start in earnest. Which 2024 Oscar contenders will do well on the trail?	Unrelated	Not relevant
106	Duality as a visual motif in 'Saltburn'	"Writer-director  Emerald Fennell ""is very confident when she talks about her story,” says cinematographer Linus Sandgren. “The overall theme is kind of gothic where you want it to feel like a vampire film, though it’s not literal vampires.”"	Actor & Director	Saltburn
107	Thanksgiving Is Gory Goodness And Worth The 16 Year Wait {Review}	Thanksgiving took sixteen years to make it into theaters, and boy, is it worth the wait. Paying homage to the late 90s/early 2000s slasher films, Eli Roth and Jeff Rendell have created a seminal slasher in The Carver that should become an instant horror icon.…	Positive review	Thanksgiving
108	‘Hunger Games’ prequel tops box office, 'Trolls Band Together' opens in 2nd place	“The Hunger Games: The Ballad of Songbirds & Snakes” tops the North American box office in its first weekend in theaters	Performance	THG
109	'The Marvels' melts down at the box office, a new low for the MCU	"The 33rd installment in the MCU managed less than a third of the $153.4 million its predecessor ""Captain Marvel"" launched with."	Performance	The Marvels
110	Alexander Payne Doesn’t Understand Why ‘The Holdovers’ Is Considered a ‘Cozy’ Film: ‘That Nauseates Me’	"I’m not quite sure what to make of it, Payne said of the film's label, ""whether to be complimented or insulted by it."""	Actor & Director	The Holdovers
111	With ‘Saltburn,’ Director Emerald Fennell Wants To Be A Villain	Getty Image/Merle Cooper	Movie production	Saltburn
112	Jacob Elordi explains bacon-fuelled preparation for role in Priscilla	Euphoria actor Jacob Elordi has revealed that he ate a “pound of bacon a day”, as well as starting a strict workout regime as part of his preparation for Priscilla.  Elordi, set to be seen as Elvis Presley in Sophia Coppola’s biopic that explores the relation…	Actor & Director	Priscilla
113	Review: ‘Thanksgiving’ is a bloodcurdling feast best served cold	‘Thanksgiving’ is a slasher movie that follows a murderous pilgrim taking revenge	Positive review	Thanksgiving
114	‘The Marvels’ Proves the MCU is at a Low Point	In Marvel Studio’s newest superhero blockbuster “The Marvels,” Captain Marvel (Carol Danvers), Ms. Marvel (Kamala Khan) and Monica Rambeau discover their “energy-based” powers have become entangled. This forces them to work together to figure out the conundru…	Performance	The Marvels
115	All Of Rachel Zegler's Ballad Of Songbirds And Snakes Singing Was Done Live On Set [Exclusive]	The voice you hear Rachel Zegler singing with in The Hunger Games: The Ballad of Songbirds and Snakes was recorded live on set, that&amp;#39;s how good she is!	Movie production	THG
116	Jacob Elordi Jokes “There’s Way More Neon Lights” in ‘Euphoria’ Party Scenes Compared to Those in ‘Saltburn’	Jacob Elordi is quickly building up a resume of iconic party scenes, starting with his work on Euphoria and now in his new movie, Saltburn. The film, written and directed by Emerald Fennell, follows Oxford student Oliver Quick (Barry Keoghan), who is brought …	Actor & Director	Saltburn
117	It’s a Fact: ‘American Fiction’ Has What It Takes to Win Best Picture	It’s not homework, it’s “American Fiction.” At first glance, writer-director Cord Jefferson’s satire about the exploitation of Black people in media might seem like another “message” movie offering difficult conversations around politics and race. Well, it is…	Unrelated	Not relevant
118	‘Priscilla’ Shines A Darker Light On The King of Rock N Roll	Elvis Presley has been in public discourse in recent years regarding a myriad of things. There is the fact that Elvis built his career off of music and songs from Black singers like Big Mama Thornton in the titular song “Hound Dog.” There is also a considerat…	Movie production	Priscilla
119	Sophie Ellis-Bextor responds to Saltburn’s wild ‘Murder on the Dancefloor’ scene	Sophie Ellis-Bextor has shared her thoughts on her hit song “Murder on the Dancefloor” being used in a key scene in Jacob Elordi’s new film, Saltburn.  Thriller Saltburn, which is out in select cinemas today (17 November), tells the story of seemingly working…	Actor & Director	Saltburn
